Производитель,модель,Электрохимическая система,Формфактор,"масса, кг","Размеры,мм","Ёмкость, Ач","Вольтаж, В","Количество циклов на заряд/разряд","Длительный ток разряда, А","Максимальный ток разряда, А","Длительный ток заряда, А","Максимальный ток заряда, А"
CATL ,CATL 3.7V 53Ah,NMC,призматические,0.965,148*29*104,53,3.7,2000,10.6,53,10.6,53
CATL ,CATL3.7V 129Ah,NMC,призматические,2.28,220*45*105,129,3.7,2000,25.8,129,25.8,129
CATL ,CATL-3.7V 190Ah,NMC,призматические,2.8,148*80*106,190,3.7,2000,38,190,38,190
CATL ,CATL-3.7V 248Ah,NMC,призматические,3.7,220*67*116,248,3.7,2000,49.6,248,49.6,248
CATL ,CATL 3.2.V100Ah,LFP,призматические,2.27,200.33*33*172.2,100,3.2,3500,50,100,50,100
CATL ,CATL-3.2V 120Ah,LFP,призматические,2.86,174*48*170,120,3.2,3500,60,120,60,120
CATL ,CATL-3.2V 228Ah,LFP,призматические,4.22,174*53.7*207,228,3.2,6000,114,228,114,228
GOTION,ESS105,LFP,призматические,2.03,27*175*200,105,3.2,3000,,,,
GOTION,ESS96,LFP,призматические,2.02,27*175*200,96,3.2,5000,,,,
GOTION,ESS90,LFP,призматические,1.98,27*175*200,90,3.2,3000,,,,
GOTION,ESS100	,LFP,призматические,2.05,27*175*200,100,3.2,1200,,,,
GOTION,ESS40,LFP,призматические,0.925,28*148*115,40,3.2,3000,,,,
GOTION,EV12.8,LFP,цилиндрические,0.245,32*131,12.8,3.2,3000,,,,
GOTION,EV15,LFP,цилиндрические,0.268,32*135,15.5,3.2,2000,,,,
GOTION,ESS13,LFP,цилиндрические,0.265,32*135,13,3.2,5000,,,,
GOTION,ESS12.8,LFP,цилиндрические,0.255,32*135,12.8,3.2,1200,,,,
GOTION,ESS10(LTO),LTO,цилиндрические,0.260,32*135,10,2.3,10000,,,,
CALB,L173F280A,LFP,призматические,5.42,174.4*204.45*71.4,280,3.2,9000,,,,
CALB,CALB-CA100,LFP,призматические,3.4,142*67*219,100,3.2,2000,,,,
CALB,L221N113A,NMC,призматические,1.8,220.8*33.36*105.88,113,3.7,2000,,,,
CALB,L148N58A ,NMC,призматические,0.93,148.24*26.66*105.9,58,3.7,2000,,,,
BYD,Blade,LFP,призматические,2.63,905*90*13.5,138,3.2,4000,,,,
EVE,LF50F,LFP,призматические,1.035,129.8*148.3*26.7,50,3.2,1500,,,,
EVE,LF160,LFP,призматические,3,153.5*173.90*53.85,160,3.2,4000,,,,
EVE,LF173,LFP,призматические,3.19,207.5*173.9*41,173,3.2,4000,,,,
EVE,LF280K,LFP,призматические,5.5,207.2*173.7*71.7,280,3.2,6000,,,,
EVE,INP58P,NCM,призматические,0.86,92.81*148*26.72,58,3.62,2700,,,,
EVE,INP114E,NCM,призматические,1.75,94.7*301.7*26.5,114.2,3.73,1500,,,,
EVE,M32,NCM,призматические,2.47,113*194.4*50.7,166,3.74,1800,,,,
EVE,D21,NCM,pouch,0.74,301.5*99.7*11.6,50.5,3.65,1600,,,,
